Weight,Sire,Line,Age
6.2,11,1,1
13,12,1,1
9.5,13,1,1
10.1,13,1,1
11.4,13,1,1
11.8,13,1,2
12.9,13,1,3
13.1,13,1,3
10.4,14,1,1
8.5,14,1,2
13.5,21,2,3
10.1,22,2,2
11,22,2,3
14,22,2,3
15.5,22,2,3
12,23,2,1
11.5,24,2,1
10.8,24,2,3
9,31,3,2
9,31,3,3
12.6,31,3,3
11,32,3,1
10.1,32,3,2
11.7,32,3,2
8.5,32,3,3
8.8,32,3,3
9.9,32,3,3
10.9,32,3,3
11,32,3,3
13.9,32,3,3
11.6,33,3,1
13,33,3,3
12,34,3,2
9.2,41,4,1
10.6,41,4,1
10.6,41,4,1
7.7,41,4,3
10,41,4,3
11.2,41,4,3
10.2,42,4,1
10.9,42,4,1
11.7,43,4,1
9.9,43,4,3
11.7,51,5,1
12.6,51,5,1
9,52,5,1
11,52,5,3
9,53,5,3
12,53,5,3
9.9,54,5,3
13.5,55,5,2
10.9,56,5,2
5.9,56,5,3
10,57,5,2
12.7,57,5,2
13.2,57,5,3
13.3,57,5,3
10.7,58,5,1
11,58,5,1
12.5,58,5,1
9,58,5,3
10.2,58,5,3
